ID,Nombre del Proyecto,Fecha (YYYY-MM-DD),Latitud,Longitud,Cliente
2021-030,EMS TANQUE TORREON COAHUILA,2021-01-04,25.53389,-103.47863,Otro
2021-031,POZO ACUILOTLA CHIMALHUACAN,2021-01-05,19.43249,-98.93655,Otro
2021-032,EMS TANQUE LERDO,2021-01-04,25.51457,-103.546974,Otro
2021-033,IGH CARCAMO,2021-01-04,19.37401,-105.09659,Otro
2021-034,EMS BANCO DE MATERIALES CALIMAYA,2021-01-06,19.16279,-99.59391,Otro
2021-035,BODEGA MERCURIO PROCTER AND GAMBLE,2021-01-05,19.50125,-99.169,Otro
2021-036,PRUEBAS DE CONCRETO VALLEN TOLUCA,2021-01-04,19.27801,-99.58917,Otro
2021-037,EMS LINEA DE CONDUCCION TORREON,2021-01-06,25.51169,-103.533585,Otro
2021-038,VERIFICACIÓN MIGUEL HIDALGO,2021-01-05,19.40425,-99.19986,Otro
2021-039,FALLA DE TALUD COPPEL 24 DE MARZO,2021-01-06,19.22803,-97.80357,Otro
2021-040,EMS CALLE KISKA TLALPAN CDMX,2021-01-06,19.26977,-99.18778,Otro
2021-041,EMS ESTABILIDAD DE TALUD UNIVERSIDAD JUSTO SIERRRA NAUCALPAN,2021-01-05,19.4688,-99.31377,Otro
2021-042,TANQUE CONTRAINCENDIOS PLANTA HITACHI LERMA EDO MEX,2021-01-06,19.30151,-99.52858,Otro
2021-043,AMPLIACION CONSTITUYENTES MIGUEL HIDALGO,2021-01-06,19.41137,-99.19268,Otro
2021-044,EMS TALUD ABADEJOS,2021-01-06,19.34301,-99.23537,Otro
2021-045,EMS AUTOPISTA ARMERIA-MANZANILLO COLIMA,2021-01-06,19.08362,-104.268616,Otro
2021-046,VERIFICACION SOCAVON INDUSTRIAL MINERA-TOLUCA,2021-01-06,19.30205,-99.6261,Otro
2021-047,BODEGAS INTERPAK CUATITLAN IZCALLI,2021-01-07,19.65634,-99.18338,Otro
2021-048,Proof,2021-01-01,-100.0,20.0,Cliente 1 de Empresa 1
2021-049,Proof,2021-01-01,-100.0,20.0,Cliente 1 de Empresa 1
2021-050,PruebaE,2021-04-05,20.0,-100.0,Cliente 2 de Empresa 2
2021-051,PruebaF,2021-02-03,20.0,-100.0,Cliente 2 de Empresa 3
